/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/PDF/Cerezo Rd Victorville Option 1 Floor Plan.pdf	85958	1716936470
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/PDF/Cerezo Rd Victorville Sie Pre.pdf	83911	1720821215
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/PDF/Cerezo Rd Victorville Option 2 Floor Plan 1.pdf	123994	1760467925
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/PDF/Untitled.pdf	3323226	1720823765
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/PDF/Cerezo Rd Victorville Option 2 SITE PRE.pdf	82583	1720815701
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/PDF/2nd Submittal/Response to Comments Letter.docx	20546	1743181418
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/PDF/2nd Submittal/Cerezo Rd Victorville - Set of Plans - 2nd Submittal.pdf	58023792	1727374858
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/PDF/2nd Submittal/Plan Check Response 2024-09-24.pdf	96888	1727314758
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/PDF/2nd Submittal/Cerezo Rd Victorville 2nd Submittal.pdf	43605007	1727338393
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/PDF/2nd Submittal/TRUSS CALCS_EOR STAMPED_2024-09-24_.pdf	2641111	1727314757
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/PDF/2nd Submittal/Structural Calculations_9-24-2024_.pdf	73105572	1727314758
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/PDF/2nd Submittal/Response to Comments Letter.pdf	111506	1727373816
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/PDF/2nd Submittal/Cerezo Victorville - STRUCTURAL SUBMITTAL 2024-09-24_.pdf	14790494	1727314758
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/PDF/2nd Submittal/Plan Check Response to Comments 2024-09-24.pdf	260454	1727386556
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/PDF/1st Submittal/Cerezo Rd Victorville 1st Submittal.pdf	43268357	1722273279
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/PDF/1st Submittal/Redmarks/Cerezo Rd Victorville Option 2 redmarks 2.pdf	38782081	1722274075
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/PDF/1st Submittal/Redmarks/Cerezo Rd Victorville Option 2 redmarks .pdf	39447608	1722274080
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/PDF/3rd Submittal/Cerezo Rd Victorville Title 24.pdf	1048998	1728500644
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/PDF/3rd Submittal/Response to Comments Letter.docx	18395	1743181416
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/PDF/3rd Submittal/Response to Coments - 2ND PLAN CHECK REVIEW PACKET SFR-2024-00411.pdf	56376877	1728514231
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/PDF/3rd Submittal/Response to Comments Letter.pdf	161005	1728514259
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/PDF/3rd Submittal/Cerezo Rd Victorville 3rd Submittal.pdf	58928392	1728521811
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/Docs/Feature Report.pdf	655439	1721189061
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/Docs/MB0070P0033-0049.pdf	2128721	1720724122
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/Docs/Property Information Management System.pdf	241352	1720568304
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/Docs/Safari.pdf	171452	1720569158
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/Docs/20240709_233203298_iOS.png	10233482	1720568444
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/Docs/309201.pdf	254399	1720595058
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/Docs/RD0032P0767-0767.pdf	101248	1720724865
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/Docs/VICINITY.png	235107	1721189226
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/Docs/IMG_2218.jpg	604474	1720565669
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/Septic Review/2nd Septic Plan Review SFR-2024-00411 - Copy.pdf	5623685	1725404307
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/Structural/Submittal/Plan Check Response 2024-09-24.pdf	96888	1727314758
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/Structural/Submittal/TRUSS CALCS_EOR STAMPED_2024-09-24_.pdf	2641111	1727314757
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/Structural/Submittal/Structural Calculations_9-24-2024_.pdf	73105572	1727314758
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/Structural/Submittal/Cerezo Victorville - STRUCTURAL SUBMITTAL 2024-09-24_.pdf	14790494	1727314758
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/Structural/Submittal/Structural Calculations_9-24-2024_Compressed.pdf	4599112	1732217415
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/Structural/Cerezo Rd Victorville - Structural Request/Cerezo Rd Victorville 2nd Submittal.rvt	148062208	1726074194
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/Structural/Cerezo Rd Victorville - Structural Request/1ST PLAN CHECK REVIEW PACKET SFR-2024-00411.pdf	44734748	1723846400
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/Structural/Cerezo Rd Victorville - Structural Request/Cerezo Rd Victorville 1st Submittal.pdf	43268357	1722273279
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/Structural/Cerezo Rd Victorville - Structural Request/Trusses/TRUSS CALCS.pdf	10474351	1724021817
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/Trusses/TRUSS CALCS.pdf	10474351	1724021817
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/Trusses/Updated Truss Calcs/TRUSS CALCS.pdf	1831285	1726776972
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/Approval/_Building_BLD_PERMIT2_Permit_20241114_124515.pdf	544700	1731618378
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/Approval/FINAL CODE COMPLIANT PLANS AND CALCULATIONS SFR-2024-00411.pdf	81359182	1731610596
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/Approval/Approved Septic Plan SFR-2024-00411.pdf	647765	1731609849
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/013 Cerezo Rd Victorville/Approval/Approved EHS ATS Review SFR-2024-00411.pdf	8442651	1731609834
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/Duplex Avenida Gracia DHS/A-1 Site Plan.pdf	169746	1713980299
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/Duplex Avenida Gracia DHS/Desert Hot Springs, APN.641-312-012.rvt	101408768	1713824349
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/Duplex Avenida Gracia DHS/A-2 Floor Plan.pdf	661086	1713980349
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/016 Magnolia Ave Ontario/Magnolia Ave Ontario Residence v2.0084.rvt	81141760	1769466747
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/016 Magnolia Ave Ontario/Magnolia Ave ADU.0029.rvt	30961664	1734398745
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/016 Magnolia Ave Ontario/Magnolia Ave Ontario Residence R2.0003.rvt	71929856	1754356998
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/016 Magnolia Ave Ontario/Magnolia Ave Ontario Residence v2.0085.rvt	81141760	1769466755
/Users/alexislovesarchitecture/Library/CloudStorage/OneDrive-Personal/Projects/2024/016 Magnolia Ave Ontario/A-4 Front & Rear Elevation.pdf	1580327	1720550974
